"File Name","Command","Link","Alt Text","Type","ID (Ref)","File Name (Ref)","Import Result","Import Comment"
"C.Biltgen.jpg","MERGE","https://website-craft.s3.amazonaws.com/hero-images/C.Biltgen.jpg","C Biltgen","IMAGE","gid://shopify/MediaImage/56391839842675","","OK","NEW"
"Ilse-Crawford-Oscar-Peña.jpg","MERGE","https://website-craft.s3.amazonaws.com/hero-images/Ilse-Crawford-Oscar-Pe%C3%B1a.jpg","Ilse Crawford Oscar Peña","IMAGE","gid://shopify/MediaImage/56391839777139","","OK","NEW"
"Michael-H.-Nielsen.jpg","MERGE","https://website-craft.s3.amazonaws.com/hero-images/Michael-H.-Nielsen.jpg","Michael H Nielsen","IMAGE","gid://shopify/MediaImage/56391838892403","","OK","NEW"
"Busk-Hertzog.jpg","MERGE","https://website-craft.s3.amazonaws.com/hero-images/Busk-Hertzog.jpg","Busk Hertzog","IMAGE","gid://shopify/MediaImage/56391838990707","","OK","NEW"
"Marco-Baxadonne.jpg","MERGE","https://website-craft.s3.amazonaws.com/hero-images/Marco-Baxadonne.jpg","Marco Baxadonne","IMAGE","gid://shopify/MediaImage/56391839318387","","OK","NEW"
"Alex-Hellum.jpg","MERGE","https://website-craft.s3.amazonaws.com/hero-images/Alex-Hellum.jpg","Alex Hellum","IMAGE","gid://shopify/MediaImage/56391837876595","","OK","NEW"
"Nicola-Gallizia_2025-11-13-040409_rrfq.jpg","MERGE","https://website-craft.s3.amazonaws.com/hero-images/Nicola-Gallizia_2025-11-13-040409_rrfq.jpg","Nicola Gallizia","IMAGE","gid://shopify/MediaImage/56391839678835","","OK","NEW"
"Adam-Goodrum.jpg","MERGE","https://website-craft.s3.amazonaws.com/hero-images/Adam-Goodrum.jpg","Adam Goodrum","IMAGE","gid://shopify/MediaImage/56391839383923","","OK","NEW"
"Philip-Bro.jpg","MERGE","https://website-craft.s3.amazonaws.com/hero-images/Philip-Bro.jpg","Philip Bro","IMAGE","gid://shopify/MediaImage/56391839056243","","OK","NEW"
"Hiromichi-Konno.jpg","MERGE","https://website-craft.s3.amazonaws.com/hero-images/Hiromichi-Konno.jpg","Hiromichi Konno","IMAGE","gid://shopify/MediaImage/56391838400883","","OK","NEW"
"Wataru-Kumano.jpg","MERGE","https://website-craft.s3.amazonaws.com/hero-images/Wataru-Kumano.jpg","Wataru Kumano","IMAGE","gid://shopify/MediaImage/56391838957939","","OK","NEW"
"Ichiro-Iwasaki.jpg","MERGE","https://website-craft.s3.amazonaws.com/hero-images/Ichiro-Iwasaki.jpg","Ichiro Iwasaki","IMAGE","gid://shopify/MediaImage/56391839580531","","OK","NEW"
"Stine-Engelbrechtsen.jpg","MERGE","https://website-craft.s3.amazonaws.com/hero-images/Stine-Engelbrechtsen.jpg","Stine Engelbrechtsen","IMAGE","gid://shopify/MediaImage/56391837942131","","OK","NEW"
"Niccolò-Grassi.jpg","MERGE","https://website-craft.s3.amazonaws.com/hero-images/Niccol%C3%B2-Grassi.jpg","Niccolò Grassi","IMAGE","gid://shopify/MediaImage/56391839416691","","OK","NEW"
"Gwenael-Nicolas.jpg","MERGE","https://website-craft.s3.amazonaws.com/hero-images/Gwenael-Nicolas.jpg","Gwenael Nicolas","IMAGE","gid://shopify/MediaImage/56391839351155","","OK","NEW"
"Wilkinson-Rivera.jpg","MERGE","https://website-craft.s3.amazonaws.com/hero-images/Wilkinson-Rivera.jpg","Wilkinson Rivera","IMAGE","gid://shopify/MediaImage/56391839547763","","OK","NEW"
"Daniel-Rybakken-Andreas-Engesvik.jpg","MERGE","https://website-craft.s3.amazonaws.com/hero-images/Daniel-Rybakken-Andreas-Engesvik.jpg","Daniel Rybakken Andreas Engesvik","IMAGE","gid://shopify/MediaImage/56391839940979","","OK","NEW"
"image_2025-11-07-113433_qivz.jpg","MERGE","https://website-craft.s3.amazonaws.com/hero-images/image_2025-11-07-113433_qivz.jpg","Image","IMAGE","gid://shopify/MediaImage/56391839711603","","OK","NEW"
"Javier-Moreno.jpg","MERGE","https://website-craft.s3.amazonaws.com/hero-images/Javier-Moreno.jpg","Javier Moreno","IMAGE","gid://shopify/MediaImage/56391839220083","","OK","NEW"
"Reiko-Kaneko.jpg","MERGE","https://website-craft.s3.amazonaws.com/hero-images/Reiko-Kaneko.jpg","Reiko Kaneko","IMAGE","gid://shopify/MediaImage/56391838630259","","OK","NEW"
"Rui-Pereira-Ryosuke-Fukusada.jpg","MERGE","https://website-craft.s3.amazonaws.com/hero-images/Rui-Pereira-Ryosuke-Fukusada.jpg","Rui Pereira Ryosuke Fukusada","IMAGE","gid://shopify/MediaImage/56391839744371","","OK","NEW"
"A.Bourdon.jpg","MERGE","https://website-craft.s3.amazonaws.com/hero-images/A.Bourdon.jpg","A Bourdon","IMAGE","gid://shopify/MediaImage/56391839482227","","OK","NEW"
"Lee-Kirkbride.jpg","MERGE","https://website-craft.s3.amazonaws.com/hero-images/Lee-Kirkbride.jpg","Lee Kirkbride","IMAGE","gid://shopify/MediaImage/56391838040435","","OK","NEW"
"Glismand-Rüdiger.jpg","MERGE","https://website-craft.s3.amazonaws.com/hero-images/Glismand-R%C3%BCdiger.jpg","Glismand Rüdiger","IMAGE","gid://shopify/MediaImage/56391840039283","","OK","NEW"
"Matthias-Demacker.jpg","MERGE","https://website-craft.s3.amazonaws.com/hero-images/Matthias-Demacker.jpg","Matthias Demacker","IMAGE","gid://shopify/MediaImage/56391839514995","","OK","NEW"
"Michael-Verheyden.jpg","MERGE","https://website-craft.s3.amazonaws.com/hero-images/Michael-Verheyden.jpg","Michael Verheyden","IMAGE","gid://shopify/MediaImage/56391839973747","","OK","NEW"
"Hofman-Dujardin.jpg","MERGE","https://website-craft.s3.amazonaws.com/hero-images/Hofman-Dujardin.jpg","Hofman Dujardin","IMAGE","gid://shopify/MediaImage/56391839089011","","OK","NEW"
"Skirvo.jpg","MERGE","https://website-craft.s3.amazonaws.com/hero-images/Skirvo.jpg","Skirvo","IMAGE","gid://shopify/MediaImage/56391839023475","","OK","NEW"
"David-Weeks.jpg","MERGE","https://website-craft.s3.amazonaws.com/hero-images/David-Weeks.jpg","David Weeks","IMAGE","gid://shopify/MediaImage/56391839875443","","OK","NEW"
"Dymitr-Malcew.jpg","MERGE","https://website-craft.s3.amazonaws.com/hero-images/Dymitr-Malcew.jpg","Dymitr Malcew","IMAGE","gid://shopify/MediaImage/56391839646067","","OK","NEW"
"OrtegaGuijarro.jpg","MERGE","https://website-craft.s3.amazonaws.com/hero-images/OrtegaGuijarro.jpg","Ortega Guijarro","IMAGE","gid://shopify/MediaImage/56391838597491","","OK","NEW"
"DSIGNIO.jpg","MERGE","https://website-craft.s3.amazonaws.com/hero-images/DSIGNIO.jpg","DSIGNIO","IMAGE","gid://shopify/MediaImage/56391840137587","","OK","NEW"
"Oki-Sato-1.jpg","MERGE","https://website-craft.s3.amazonaws.com/hero-images/Oki-Sato-1.jpg","Oki Sato 1","IMAGE","gid://shopify/MediaImage/56391840006515","","OK","NEW"
"Tom-Skeehan.jpg","MERGE","https://website-craft.s3.amazonaws.com/hero-images/Tom-Skeehan.jpg","Tom Skeehan","IMAGE","gid://shopify/MediaImage/56391839154547","","OK","NEW"
"Anchor-Ceramics.jpg","MERGE","https://website-craft.s3.amazonaws.com/hero-images/Anchor-Ceramics.jpg","Anchor Ceramics","IMAGE","gid://shopify/MediaImage/56391839252851","","OK","NEW"
